N,Rho,Verteilung_X,Parameter,Avg_Skewness,Bias_OLS,Bias_ICA,RMSE_OLS,RMSE_ICA
100,0.1,beta,"{'a': 0.5, 'b': 0.5}",-0.0121,0.7221,0.016,0.7671,0.532
100,0.1,beta,"{'a': 1.0, 'b': 1.0}",-0.0128,1.0601,0.0835,1.1034,8.8002
100,0.1,beta,"{'a': 2.0, 'b': 2.0}",0.003,1.6324,0.3694,1.6681,85.4998
100,0.1,beta,"{'a': 4.0, 'b': 4.0}",0.0031,2.6098,2.1324,2.6463,63.6427
100,0.1,chisquare,{'df': 2},1.788,0.0227,-0.006,0.0558,0.3558
100,0.1,chisquare,{'df': 8},0.94,0.0061,-0.0122,0.0263,0.5369
100,0.1,chisquare,{'df': 14},0.7253,0.0033,-0.0042,0.0192,0.592
100,0.1,chisquare,{'df': 20},0.6092,0.0024,0.0006,0.0161,1.0965
100,0.1,gamma,"{'shape': 1.0, 'scale': 0.5}",1.6898,0.3832,-0.0178,0.4444,1.5211
100,0.1,gamma,"{'shape': 1.0, 'scale': 2.0}",1.788,0.0227,-0.0062,0.0558,0.3585
100,0.1,gamma,"{'shape': 2.0, 'scale': 4.0}",1.315,0.0021,-0.0075,0.0186,0.1067
100,0.1,gamma,"{'shape': 4.0, 'scale': 2.0}",0.94,0.0061,-0.009,0.0263,1.8896
100,0.1,lognormal,"{'mean': 0.0, 'sigma': 1.0}",3.1303,0.0284,0.006,0.065,0.1358
100,0.1,lognormal,"{'mean': 0.0, 'sigma': 0.75}",2.2837,0.0841,0.0134,0.1303,0.2899
100,0.1,lognormal,"{'mean': 0.0, 'sigma': 0.5}",1.4221,0.2759,0.037,0.3275,3.5197
100,0.1,lognormal,"{'mean': 0.0, 'sigma': 0.25}",0.5762,1.2733,0.2372,1.3202,70.198
100,0.1,t,{'df': 3},-0.0515,0.0388,0.0091,0.0781,5.2691
100,0.1,t,{'df': 4},-0.0493,0.0499,-0.0031,0.093,24.5602
100,0.1,t,{'df': 5},-0.0236,0.0603,0.017,0.1029,11.4904
100,0.1,t,{'df': 6},-0.0026,0.0688,0.0187,0.1107,11.4536
100,0.2,beta,"{'a': 0.5, 'b': 0.5}",-0.0087,1.1932,-0.0044,1.2091,0.4598
100,0.2,beta,"{'a': 1.0, 'b': 1.0}",-0.018,1.6089,0.0621,1.6236,2.3729
100,0.2,beta,"{'a': 2.0, 'b': 2.0}",-0.0025,2.2024,0.4704,2.2135,12.8092
100,0.2,beta,"{'a': 4.0, 'b': 4.0}",0.0047,2.9413,2.7971,2.9502,273.6453
100,0.2,chisquare,{'df': 2},1.7675,0.0479,-0.0034,0.0712,1.2804
100,0.2,chisquare,{'df': 8},0.9366,0.0123,-0.0057,0.0284,0.4053
100,0.2,chisquare,{'df': 14},0.7237,0.0068,-0.0016,0.0201,6.4374
100,0.2,chisquare,{'df': 20},0.6083,0.0049,-0.0015,0.0167,5.1738
100,0.2,gamma,"{'shape': 1.0, 'scale': 0.5}",1.4315,0.6922,-0.0248,0.7328,1.8823
100,0.2,gamma,"{'shape': 1.0, 'scale': 2.0}",1.7675,0.0479,-0.0051,0.0712,1.072
100,0.2,gamma,"{'shape': 2.0, 'scale': 4.0}",1.3128,0.0053,-0.0058,0.0192,0.1068
100,0.2,gamma,"{'shape': 4.0, 'scale': 2.0}",0.9366,0.0123,-0.006,0.0284,0.5141
100,0.2,lognormal,"{'mean': 0.0, 'sigma': 1.0}",3.0948,0.0575,0.0068,0.084,0.1276
100,0.2,lognormal,"{'mean': 0.0, 'sigma': 0.75}",2.2053,0.1656,0.0118,0.196,0.5358
100,0.2,lognormal,"{'mean': 0.0, 'sigma': 0.5}",1.2656,0.5112,0.0248,0.541,1.3473
100,0.2,lognormal,"{'mean': 0.0, 'sigma': 0.25}",0.3492,1.8436,0.355,1.8627,38.3005
100,0.2,t,{'df': 3},-0.0506,0.0791,0.0077,0.1055,2.5332
100,0.2,t,{'df': 4},-0.0496,0.1015,0.0156,0.1292,38.4789
100,0.2,t,{'df': 5},-0.0246,0.1199,0.0345,0.1466,16.4364
100,0.2,t,{'df': 6},-0.0037,0.134,0.0369,0.1597,33.0725
100,0.3,beta,"{'a': 0.5, 'b': 0.5}",-0.0055,1.3821,0.0187,1.3894,0.6176
100,0.3,beta,"{'a': 1.0, 'b': 1.0}",-0.0213,1.7225,0.0806,1.7286,3.9667
100,0.3,beta,"{'a': 2.0, 'b': 2.0}",-0.0082,2.1342,0.5127,2.1391,6.8566
100,0.3,beta,"{'a': 4.0, 'b': 4.0}",0.0018,2.547,2.3157,2.5505,11.8121
100,0.3,chisquare,{'df': 2},1.7343,0.0724,-0.0061,0.0906,0.7278
100,0.3,chisquare,{'df': 8},0.9315,0.0185,-0.009,0.0316,0.9908
100,0.3,chisquare,{'df': 14},0.7213,0.0103,0.0022,0.0215,14.0863
100,0.3,chisquare,{'df': 20},0.6069,0.0073,0.0025,0.0176,1.7376
100,0.3,gamma,"{'shape': 1.0, 'scale': 0.5}",1.1271,0.8832,-0.0184,0.9121,10.5417
100,0.3,gamma,"{'shape': 1.0, 'scale': 2.0}",1.7343,0.0724,-0.0044,0.0906,0.8369
100,0.3,gamma,"{'shape': 2.0, 'scale': 4.0}",1.3093,0.0084,-0.0047,0.0203,0.1028
100,0.3,gamma,"{'shape': 4.0, 'scale': 2.0}",0.9315,0.0185,-0.0013,0.0316,0.5083
100,0.3,lognormal,"{'mean': 0.0, 'sigma': 1.0}",3.0368,0.0854,0.0049,0.108,0.1278
100,0.3,lognormal,"{'mean': 0.0, 'sigma': 0.75}",2.0846,0.2387,0.0113,0.2639,0.3303
100,0.3,lognormal,"{'mean': 0.0, 'sigma': 0.5}",1.0619,0.6791,0.0376,0.7008,3.6368
