N,Verteilung_X,Parameter,Avg_Skewness,Avg_Kurtosis,Bias_OLS,Bias_ICA,RMSE_OLS,RMSE_ICA
100,gamma,"{'shape': 1.0, 'scale': 1.0}",0.8889,1.7228,0.493,0.0008,0.501,0.6395
100,gamma,"{'shape': 5.0, 'scale': 1.0}",0.6611,0.5017,0.1453,0.2002,0.1508,1.813
100,exponential,{'scale': 1.0},0.8889,1.7228,0.493,-0.2681,0.501,1.9013
100,beta,"{'a': 0.5, 'b': 0.5}",0.0064,-0.0406,1.0539,-0.1567,1.0546,0.5417
100,f,"{'dfnum': 5, 'dfden': 2}",6.2871,46.4079,0.0061,-0.0065,0.0157,0.0504
100,chisquare,{'df': 1},1.5187,3.82,0.3193,-0.0198,0.3311,0.1896
100,laplace,{'scale': 1.0},0.0679,0.9832,0.3157,0.0191,0.3217,1.1941
100,weibull,{'a': 0.5},3.8286,20.0035,0.0558,-0.0019,0.0716,0.0513
200,gamma,"{'shape': 1.0, 'scale': 1.0}",0.9107,1.9909,0.4854,-0.0706,0.4894,0.2896
200,gamma,"{'shape': 5.0, 'scale': 1.0}",0.7076,0.7529,0.143,-0.001,0.1458,0.266
200,exponential,{'scale': 1.0},0.9107,1.9909,0.4854,-0.0657,0.4894,0.2889
200,beta,"{'a': 0.5, 'b': 0.5}",0.004,-0.0276,1.044,-0.1292,1.0445,0.5489
200,f,"{'dfnum': 5, 'dfden': 2}",9.3968,103.3113,0.0019,-0.0005,0.0043,0.0037
200,chisquare,{'df': 1},1.7972,6.1382,0.311,0.0082,0.3214,0.1144
200,laplace,{'scale': 1.0},0.009,1.2931,0.3082,-0.0048,0.3121,0.1353
200,weibull,{'a': 0.5},4.4401,29.2756,0.0447,-0.0038,0.052,0.0256
400,gamma,"{'shape': 1.0, 'scale': 1.0}",0.9256,1.9837,0.4867,-0.0277,0.4896,0.2146
400,gamma,"{'shape': 5.0, 'scale': 1.0}",0.7108,0.7569,0.1415,-0.0139,0.143,0.2386
400,exponential,{'scale': 1.0},0.9256,1.9837,0.4867,-0.0117,0.4896,0.1845
400,beta,"{'a': 0.5, 'b': 0.5}",-0.0026,-0.0737,1.0419,-0.0295,1.042,0.2344
400,f,"{'dfnum': 5, 'dfden': 2}",12.7523,197.2803,0.0015,-0.0001,0.0035,0.0024
400,chisquare,{'df': 1},1.8044,6.1908,0.3054,0.0019,0.3084,0.0606
400,laplace,{'scale': 1.0},0.0171,1.3879,0.3037,-0.0159,0.3054,0.0889
400,weibull,{'a': 0.5},4.7178,33.7847,0.0458,0.0021,0.0505,0.0162
800,gamma,"{'shape': 1.0, 'scale': 1.0}",0.9577,2.1832,0.4872,0.0036,0.4885,0.1075
800,gamma,"{'shape': 5.0, 'scale': 1.0}",0.7606,1.0065,0.1426,-0.0108,0.1433,0.1707
800,exponential,{'scale': 1.0},0.9577,2.1832,0.4872,-0.0397,0.4885,0.3967
800,beta,"{'a': 0.5, 'b': 0.5}",-0.0022,-0.0454,1.048,-0.005,1.0481,0.2663
800,f,"{'dfnum': 5, 'dfden': 2}",17.2962,371.4263,0.0009,0.0002,0.0021,0.0033
800,chisquare,{'df': 1},1.8221,6.3742,0.309,-0.0307,0.3111,0.2229
800,laplace,{'scale': 1.0},0.0199,1.6237,0.3007,-0.0011,0.3016,0.0493
800,weibull,{'a': 0.5},5.3535,46.344,0.0416,0.0033,0.044,0.0261
1000,gamma,"{'shape': 1.0, 'scale': 1.0}",0.9329,2.0865,0.4916,0.0005,0.4923,0.1006
1000,gamma,"{'shape': 5.0, 'scale': 1.0}",0.7157,0.8234,0.1401,-0.0303,0.1408,0.1495
